Name,SnapShotDate,Checkin,Checkout,NumOfWeekendDays,Nights,RoomType,BedType,Breakfast,Review,Rating,Score,Cancellation,Sustainable,CenterDistance,Location,Stars,Taxes,PriceBdiscount,Price
Margaritaville Resort Times Square,2023/2/27,2023/2/28,2023/3/1,0,,King Room - Disability Access,1 king bed,0,"1,347 reviews",Excellent,8.7,0,0,1.5 km from center,"Manhattan, New York",4,$80 taxes and charges,No Discount,
Pod Times Square,2023/2/27,2023/2/28,2023/3/1,0,1,Standard Bunk Bed Room,2 twin beds,0,"12,730 reviews",Very Good,8.1,0,0,1.4 km from center,"Hell's Kitchen, New York",4,$40 taxes and charges,No Discount,US$95
The Herald 8 by LuxUrban,2023/2/27,2023/2/28,2023/3/1,0,1,Large Double Room,1 king bed,0,"2,108 reviews",Good,7.7,Free cancellation,0,2 km from center,"Manhattan, New York",,$23 taxes and charges,No Discount,US$134
Riu Plaza Manhattan Times Square,2023/2/27,2023/2/28,2023/3/1,0,1,Deluxe Family King,"2 beds (1 king, 1 sofa bed)",0,"6,345 reviews",Excellent,8.6,0,0,1 km from center,"Manhattan, New York",4,$60 taxes and charges,US$220,US$159
Hyatt Place New York City/Times Square,2023/2/27,2023/2/28,2023/3/1,0,1,King Room,1 king bed,Breakfast included,"14,979 reviews",Good,7.6,0,0,1.7 km from center,"Hell's Kitchen, New York",4,$25 taxes and charges,No Discount,US$145
YOTEL New York Times Square,2023/2/27,2023/2/28,2023/3/1,0,1,Premium Queen View,1 queen bed,0,"3,795 reviews",Good,7.1,0,0,1.5 km from center,"Hell's Kitchen, New York",4,$63 taxes and charges,US$125,US$113
Park Central,2023/2/27,2023/2/28,2023/3/1,0,1,Classic King Room,1 king bed,0,"2,560 reviews",Good,7.6,0,0,400 m from center,"Manhattan, New York",4,$63 taxes and charges,No Discount,US$111
Hotel Edison Times Square,2023/2/27,2023/2/28,2023/3/1,0,1,Classic 1 Queen Bed,1 queen bed,Breakfast included,"11,194 reviews",Good,7.3,0,0,1 km from center,"Manhattan, New York",4,$60 taxes and charges,No Discount,US$109
Millennium Hotel Broadway Times Square,2023/2/27,2023/2/28,2023/3/1,0,1,Queen Room with Bath Tub - Hearing/Mobility Accessible,1 queen bed,0,"5,864 reviews",Good,7.0,0,0,1.3 km from center,"Manhattan, New York",4,$54 taxes and charges,US$119,US$107
Empire Hotel,2023/2/27,2023/2/28,2023/3/1,0,1,Standard Queen Room,1 queen bed,0,"2,488 reviews",Review score,6.8,0,0,400 m from center,"Upper West Side, New York",4,$44 taxes and charges,No Discount,US$119
SpringHill Suites by Marriott New York Manhattan Chelsea,2023/2/27,2023/2/28,2023/3/1,0,1,King Room,"Private suite
1 king bed",Breakfast included,"3,666 reviews",Very Good,8.1,FREE cancellation • No prepayment needed,0,2.5 km from center,"Chelsea, New York",4,$27 taxes and charges,No Discount,US$159
