Name,DateOfSearch,Checkin,Checkout,NumOfWeekendDays,Nights,District,Score,Rating,Review,Includes,Refundable,Price
Conrad New York Midtown,2023/3/3,2023/3/4,2023/3/5,1,1,New York,8.4,Very Good,(999 reviews),,0,$536 total
The Frederick Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,New York,8.6,Excellent,"(1,000 reviews)",Breakfast included,Fully refundable,$293 total
"PUBLIC, an Ian Schrager hotel",2023/3/3,2023/3/4,2023/3/5,1,1,New York,8.0,Very Good,"(1,450 reviews)",,0,$457 total
Radio Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,New York,8.8,Excellent,(328 reviews),,0,$194 total
Park Terrace Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,Central New York City,9.2,Wonderful,"(1,002 reviews)",,0,$374 total
The Westin New York Grand Central,2023/3/3,2023/3/4,2023/3/5,1,1,New York,8.6,Excellent,"(1,170 reviews)",,0,$361 total
Hyatt Grand Central New York,2023/3/3,2023/3/4,2023/3/5,1,1,New York,7.8,Good,"(1,627 reviews)",,0,$316 total
W New York - Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,Theater District,8.4,Very Good,"(1,003 reviews)",,0,$513 total
The Benjamin Royal Sonesta New York,2023/3/3,2023/3/4,2023/3/5,1,1,New York,8.8,Excellent,"(1,002 reviews)",,Fully refundable,$373 total
LaGuardia Plaza Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,Queens,7.6,Good,"(1,004 reviews)",Pool,0,$187 total
Royalton New York,2023/3/3,2023/3/4,2023/3/5,1,1,Central New York City,8.0,Very Good,"(1,001 reviews)",,Fully refundable,$300 total
Sofitel New York,2023/3/3,2023/3/4,2023/3/5,1,1,Central New York City,8.8,Excellent,"(1,002 reviews)",,Fully refundable,$435 total
Four Points by Sheraton Manhattan - Chelsea,2023/3/3,2023/3/4,2023/3/5,1,1,Chelsea,7.6,Good,"(1,000 reviews)",,0,$336 total
Hilton New York Fashion District,2023/3/3,2023/3/4,2023/3/5,1,1,Chelsea,8.0,Very Good,"(1,002 reviews)",,0,$307 total
1 Hotel Central Park,2023/3/3,2023/3/4,2023/3/5,1,1,Central New York City,9.0,Wonderful,"(1,001 reviews)",,0,$541 total
Soho Grand Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,SoHo,8.8,Excellent,"(1,001 reviews)",,Fully refundable,$482 total
Omni Berkshire Place,2023/3/3,2023/3/4,2023/3/5,1,1,New York,9.0,Wonderful,"(1,001 reviews)",,Fully refundable,$373 total
Dream Downtown,2023/3/3,2023/3/4,2023/3/5,1,1,New York,7.2,Good,"(1,002 reviews)",Pool,Fully refundable,$335 total
The Maritime Hotel,2023/3/3,2023/3/4,2023/3/5,1,1,New York,9.4,Exceptional,"(1,003 reviews)",Breakfast included,Fully refundable,$404 total
Concorde Hotel New York,2023/3/3,2023/3/4,2023/3/5,1,1,New York,9.0,Wonderful,(973 reviews),,0,$358 total
Ameritania Hotel at Times Square,2023/3/3,2023/3/4,2023/3/5,1,1,Theater District,8.4,Very Good,"(1,125 reviews)",,0,$369 total
Freehand New York,2023/3/3,2023/3/4,2023/3/5,1,1,New York,8.2,Very Good,"(1,003 reviews)",,0,$322 total
Hilton Garden Inn New York/Manhattan-Midtown East,2023/3/3,2023/3/4,2023/3/5,1,1,New York,8.2,Very Good,"(1,001 reviews)",,0,$312 total
Pestana Park Avenue,2023/3/3,2023/3/4,2023/3/5,1,1,New York,8.8,Excellent,(321 reviews),,Fully refundable,$343 total
Conrad New York Midtown,2023/3/3,2023/3/4,2023/3/5,1,1,New York,8.4,Very Good,(999 reviews),,0,$536 total
Trump International Hotel & Tower New York,2023/3/3,2023/3/4,2023/3/5,1,1,New York,9.2,Wonderful,"(1,000 reviews)",Pool,0,$782 total
Hilton Garden Inn New York/Central Park South-Midtown West,2023/3/3,2023/3/4,2023/3/5,1,1,Theater District,7.4,Good,"(1,041 reviews)",,0,$343 total
